k,NDCG@10,MRR@10,Recall@100
1,0.6561482991199225,0.6211242973029184,0.931
5,0.659049960379567,0.6238743110570131,0.931
10,0.6504074942804571,0.6126011005826053,0.931
20,0.6432709176107868,0.6081281793658964,0.931
30,0.6324028697167597,0.6042469919765557,0.931
40,0.6265125636913346,0.6022410658976289,0.931
60,0.6245006172835343,0.602586315027396,0.931
80,0.6209548464017849,0.60183651282408,0.931
100,0.6206770027358018,0.6014983040853279,0.931
150,0.620401864293035,0.6012167023537262,0.931
200,0.6193306370797442,0.601080579217603,0.931
